Areaname,STCOU,SEX100200F,SEX100200D,SEX100200N1,SEX100200N2,SEX100210F,SEX100210D,SEX100210N1,SEX100210N2,SEX120200F,SEX120200D,SEX120200N1,SEX120200N2,SEX150200F,SEX150200D,SEX150200N1,SEX150200N2,SEX150201F,SEX150201D,SEX150201N1,SEX150201N2,SEX150202F,SEX150202D,SEX150202N1,SEX150202N2,SEX150203F,SEX150203D,SEX150203N1,SEX150203N2,SEX150204F,SEX150204D,SEX150204N1,SEX150204N2,SEX150205F,SEX150205D,SEX150205N1,SEX150205N2,SEX150206F,SEX150206D,SEX150206N1,SEX150206N2
"Hamilton, NE",31081,0,4687,0000,0000,0,4564,0000,0000,0,4687,0000,0000,0,4677,0000,0000,0,4663,0000,0000,0,4669,0000,0000,0,4681,0000,0000,0,4664,0000,0000,0,4640,0000,0000,0,4612,0000,0000
"Harlan, NE",31083,0,1874,0000,0000,0,1723,0000,0000,0,1874,0000,0000,0,1865,0000,0000,0,1834,0000,0000,0,1792,0000,0000,0,1806,0000,0000,0,1761,0000,0000,0,1715,0000,0000,0,1689,0000,0000
"Hayes, NE",31085,0,535,0000,0000,0,510,0000,0000,0,535,0000,0000,0,535,0000,0000,0,547,0000,0000,0,553,0000,0000,0,547,0000,0000,0,535,0000,0000,0,530,0000,0000,0,500,0000,0000
"Hitchcock, NE",31087,0,1516,0000,0000,0,1446,0000,0000,0,1517,0000,0000,0,1513,0000,0000,0,1497,0000,0000,0,1477,0000,0000,0,1462,0000,0000,0,1458,0000,0000,0,1402,0000,0000,0,1399,0000,0000
"Holt, NE",31089,0,5685,0000,0000,0,5189,0000,0000,0,5685,0000,0000,0,5654,0000,0000,0,5571,0000,0000,0,5478,0000,0000,0,5365,0000,0000,0,5237,0000,0000,0,5201,0000,0000,0,5061,0000,0000
"Hooker, NE",31091,0,356,0000,0000,0,346,0000,0000,0,356,0000,0000,0,356,0000,0000,0,343,0000,0000,0,333,0000,0000,0,336,0000,0000,0,348,0000,0000,0,347,0000,0000,0,355,0000,0000
"Howard, NE",31093,0,3300,0000,0000,0,3191,0000,0000,0,3300,0000,0000,0,3288,0000,0000,0,3256,0000,0000,0,3262,0000,0000,0,3313,0000,0000,0,3316,0000,0000,0,3305,0000,0000,0,3276,0000,0000
"Jefferson, NE",31095,0,4073,0000,0000,0,3717,0000,0000,0,4075,0000,0000,0,4075,0000,0000,0,4056,0000,0000,0,4018,0000,0000,0,3936,0000,0000,0,3907,0000,0000,0,3824,0000,0000,0,3764,0000,0000
"Johnson, NE",31097,0,2149,0000,0000,0,3015,0000,0000,0,2149,0000,0000,0,2148,0000,0000,0,2091,0000,0000,0,2564,0000,0000,0,2673,0000,0000,0,2929,0000,0000,0,2832,0000,0000,0,2856,0000,0000
"Kearney, NE",31099,0,3413,0000,0000,0,3187,0000,0000,0,3413,0000,0000,0,3415,0000,0000,0,3395,0000,0000,0,3363,0000,0000,0,3366,0000,0000,0,3344,0000,0000,0,3314,0000,0000,0,3275,0000,0000
"Keith, NE",31101,0,4358,0000,0000,0,4196,0000,0000,0,4358,0000,0000,0,4349,0000,0000,0,4294,0000,0000,0,4253,0000,0000,0,4102,0000,0000,0,4045,0000,0000,0,4002,0000,0000,0,3950,0000,0000
"Keya Paha, NE",31103,0,495,0000,0000,0,415,0000,0000,0,495,0000,0000,0,492,0000,0000,0,484,0000,0000,0,478,0000,0000,0,482,0000,0000,0,471,0000,0000,0,444,0000,0000,0,436,0000,0000
"Kimball, NE",31105,0,1998,0000,0000,0,1903,0000,0000,0,1998,0000,0000,0,1982,0000,0000,0,1966,0000,0000,0,1948,0000,0000,0,1892,0000,0000,0,1861,0000,0000,0,1846,0000,0000,0,1810,0000,0000
"Knox, NE",31107,0,4609,0000,0000,0,4262,0000,0000,0,4609,0000,0000,0,4593,0000,0000,0,4484,0000,0000,0,4428,0000,0000,0,4382,0000,0000,0,4347,0000,0000,0,4249,0000,0000,0,4204,0000,0000
"Lancaster, NE",31109,0,125029,0000,0000,0,143048,0000,0000,0,125029,0000,0000,0,125593,0000,0000,0,127184,0000,0000,0,128876,0000,0000,0,130884,0000,0000,0,131954,0000,0000,0,133849,0000,0000,0,135543,0000,0000
"Lincoln, NE",31111,0,17009,0000,0000,0,17941,0000,0000,0,17009,0000,0000,0,17011,0000,0000,0,16981,0000,0000,0,16885,0000,0000,0,16993,0000,0000,0,17178,0000,0000,0,17350,0000,0000,0,17509,0000,0000
"Logan, NE",31113,0,385,0000,0000,0,381,0000,0000,0,385,0000,0000,0,385,0000,0000,0,387,0000,0000,0,370,0000,0000,0,352,0000,0000,0,354,0000,0000,0,360,0000,0000,0,362,0000,0000
"Loup, NE",31115,0,371,0000,0000,0,324,0000,0000,0,371,0000,0000,0,370,0000,0000,0,376,0000,0000,0,387,0000,0000,0,379,0000,0000,0,350,0000,0000,0,347,0000,0000,0,345,0000,0000
"McPherson, NE",31117,0,266,0000,0000,0,277,0000,0000,0,266,0000,0000,0,265,0000,0000,0,261,0000,0000,0,264,0000,0000,0,257,0000,0000,0,256,0000,0000,0,252,0000,0000,0,247,0000,0000
"Madison, NE",31119,0,17480,0000,0000,0,17314,0000,0000,0,17480,0000,0000,0,17470,0000,0000,0,17691,0000,0000,0,17850,0000,0000,0,17846,0000,0000,0,17788,0000,0000,0,17739,0000,0000,0,17622,0000,0000
"Merrick, NE",31121,0,4017,0000,0000,0,3880,0000,0000,0,4017,0000,0000,0,3999,0000,0000,0,3947,0000,0000,0,3941,0000,0000,0,3934,0000,0000,0,3933,0000,0000,0,3855,0000,0000,0,3808,0000,0000
"Morrill, NE",31123,0,2691,0000,0000,0,2517,0000,0000,0,2691,0000,0000,0,2691,0000,0000,0,2638,0000,0000,0,2559,0000,0000,0,2546,0000,0000,0,2511,0000,0000,0,2492,0000,0000,0,2484,0000,0000
"Nance, NE",31125,0,2061,0000,0000,0,1873,0000,0000,0,2061,0000,0000,0,2060,0000,0000,0,2045,0000,0000,0,1978,0000,0000,0,1912,0000,0000,0,1876,0000,0000,0,1875,0000,0000,0,1845,0000,0000
"Nemaha, NE",31127,0,3656,0000,0000,0,3541,0000,0000,0,3656,0000,0000,0,3653,0000,0000,0,3579,0000,0000,0,3505,0000,0000,0,3436,0000,0000,0,3407,0000,0000,0,3447,0000,0000,0,3470,0000,0000
"Nuckolls, NE",31129,0,2430,0000,0000,0,2227,0000,0000,0,2430,0000,0000,0,2415,0000,0000,0,2366,0000,0000,0,2297,0000,0000,0,2304,0000,0000,0,2299,0000,0000,0,2258,0000,0000,0,2214,0000,0000
"Otoe, NE",31131,0,7550,0000,0000,0,7714,0000,0000,0,7550,0000,0000,0,7570,0000,0000,0,7597,0000,0000,0,7559,0000,0000,0,7553,0000,0000,0,7566,0000,0000,0,7591,0000,0000,0,7659,0000,0000
"Pawnee, NE",31133,0,1483,0000,0000,0,1378,0000,0000,0,1483,0000,0000,0,1483,0000,0000,0,1444,0000,0000,0,1438,0000,0000,0,1378,0000,0000,0,1373,0000,0000,0,1352,0000,0000,0,1301,0000,0000
"Perkins, NE",31135,0,1606,0000,0000,0,1499,0000,0000,0,1606,0000,0000,0,1592,0000,0000,0,1566,0000,0000,0,1555,0000,0000,0,1518,0000,0000,0,1530,0000,0000,0,1527,0000,0000,0,1473,0000,0000
"Phelps, NE",31137,0,4777,0000,0000,0,4545,0000,0000,0,4777,0000,0000,0,4771,0000,0000,0,4757,0000,0000,0,4747,0000,0000,0,4696,0000,0000,0,4682,0000,0000,0,4615,0000,0000,0,4625,0000,0000
"Pierce, NE",31139,0,3929,0000,0000,0,3669,0000,0000,0,3929,0000,0000,0,3923,0000,0000,0,3872,0000,0000,0,3819,0000,0000,0,3811,0000,0000,0,3738,0000,0000,0,3750,0000,0000,0,3712,0000,0000
"Platte, NE",31141,0,15700,0000,0000,0,16141,0000,0000,0,15653,0000,0000,0,15634,0000,0000,0,15592,0000,0000,0,15432,0000,0000,0,15376,0000,0000,0,15384,0000,0000,0,15529,0000,0000,0,15662,0000,0000
"Polk, NE",31143,0,2827,0000,0000,0,2696,0000,0000,0,2827,0000,0000,0,2813,0000,0000,0,2762,0000,0000,0,2756,0000,0000,0,2720,0000,0000,0,2675,0000,0000,0,2659,0000,0000,0,2618,0000,0000
"Red Willow, NE",31145,0,5544,0000,0000,0,5483,0000,0000,0,5545,0000,0000,0,5547,0000,0000,0,5525,0000,0000,0,5488,0000,0000,0,5456,0000,0000,0,5406,0000,0000,0,5368,0000,0000,0,5272,0000,0000
"Richardson, NE",31147,0,4606,0000,0000,0,4132,0000,0000,0,4606,0000,0000,0,4595,0000,0000,0,4465,0000,0000,0,4381,0000,0000,0,4293,0000,0000,0,4251,0000,0000,0,4196,0000,0000,0,4107,0000,0000
"Rock, NE",31149,0,843,0000,0000,0,763,0000,0000,0,843,0000,0000,0,844,0000,0000,0,825,0000,0000,0,804,0000,0000,0,764,0000,0000,0,769,0000,0000,0,741,0000,0000,0,739,0000,0000
"Saline, NE",31151,0,6845,0000,0000,0,7137,0000,0000,0,6845,0000,0000,0,6854,0000,0000,0,6914,0000,0000,0,6972,0000,0000,0,7022,0000,0000,0,7018,0000,0000,0,6979,0000,0000,0,6931,0000,0000
"Sarpy, NE",31153,0,60919,0000,0000,0,78886,0000,0000,0,60919,0000,0000,0,61191,0000,0000,0,62632,0000,0000,0,64088,0000,0000,0,65332,0000,0000,0,67273,0000,0000,0,69047,0000,0000,0,70826,0000,0000
"Saunders, NE",31155,0,9869,0000,0000,0,10516,0000,0000,0,9869,0000,0000,0,9883,0000,0000,0,9939,0000,0000,0,9912,0000,0000,0,9996,0000,0000,0,10058,0000,0000,0,10171,0000,0000,0,10138,0000,0000
"Scotts Bluff, NE",31157,0,17625,0000,0000,0,17813,0000,0000,0,17625,0000,0000,0,17636,0000,0000,0,17458,0000,0000,0,17475,0000,0000,0,17421,0000,0000,0,17349,0000,0000,0,17363,0000,0000,0,17329,0000,0000
"Seward, NE",31159,0,8379,0000,0000,0,8527,0000,0000,0,8379,0000,0000,0,8402,0000,0000,0,8467,0000,0000,0,8448,0000,0000,0,8419,0000,0000,0,8518,0000,0000,0,8483,0000,0000,0,8518,0000,0000
"Sheridan, NE",31161,0,3035,0000,0000,0,2654,0000,0000,0,3035,0000,0000,0,3024,0000,0000,0,2931,0000,0000,0,2923,0000,0000,0,2829,0000,0000,0,2821,0000,0000,0,2751,0000,0000,0,2705,0000,0000
"Sherman, NE",31163,0,1634,0000,0000,0,1549,0000,0000,0,1634,0000,0000,0,1623,0000,0000,0,1588,0000,0000,0,1548,0000,0000,0,1534,0000,0000,0,1542,0000,0000,0,1517,0000,0000,0,1466,0000,0000
"Sioux, NE",31165,0,776,0000,0000,0,673,0000,0000,0,776,0000,0000,0,774,0000,0000,0,737,0000,0000,0,753,0000,0000,0,776,0000,0000,0,746,0000,0000,0,744,0000,0000,0,729,0000,0000
