Areaname,STCOU,SEX100200F,SEX100200D,SEX100200N1,SEX100200N2,SEX100210F,SEX100210D,SEX100210N1,SEX100210N2,SEX120200F,SEX120200D,SEX120200N1,SEX120200N2,SEX150200F,SEX150200D,SEX150200N1,SEX150200N2,SEX150201F,SEX150201D,SEX150201N1,SEX150201N2,SEX150202F,SEX150202D,SEX150202N1,SEX150202N2,SEX150203F,SEX150203D,SEX150203N1,SEX150203N2,SEX150204F,SEX150204D,SEX150204N1,SEX150204N2,SEX150205F,SEX150205D,SEX150205N1,SEX150205N2,SEX150206F,SEX150206D,SEX150206N1,SEX150206N2
"St. Louis city, MO",29510,0,163567,0000,0000,0,154171,0000,0000,0,163567,0000,0000,0,162989,0000,0000,0,164653,0000,0000,0,165115,0000,0000,0,164014,0000,0000,0,165426,0000,0000,0,166445,0000,0000,0,167219,0000,0000
MONTANA,30000,0,449480,0000,0000,0,496667,0000,0000,0,449477,0000,0000,0,450049,0000,0000,0,451513,0000,0000,0,453812,0000,0000,0,457552,0000,0000,0,462332,0000,0000,0,467115,0000,0000,0,473355,0000,0000
"Beaverhead, MT",30001,0,4713,0000,0000,0,4731,0000,0000,0,4711,0000,0000,0,4698,0000,0000,0,4592,0000,0000,0,4554,0000,0000,0,4502,0000,0000,0,4493,0000,0000,0,4469,0000,0000,0,4537,0000,0000
"Big Horn, MT",30003,0,6249,0000,0000,0,6394,0000,0000,0,6249,0000,0000,0,6246,0000,0000,0,6323,0000,0000,0,6315,0000,0000,0,6291,0000,0000,0,6337,0000,0000,0,6294,0000,0000,0,6283,0000,0000
"Blaine, MT",30005,0,3460,0000,0000,0,3248,0000,0000,0,3458,0000,0000,0,3439,0000,0000,0,3332,0000,0000,0,3344,0000,0000,0,3308,0000,0000,0,3251,0000,0000,0,3259,0000,0000,0,3238,0000,0000
"Broadwater, MT",30007,0,2236,0000,0000,0,2871,0000,0000,0,2235,0000,0000,0,2226,0000,0000,0,2222,0000,0000,0,2212,0000,0000,0,2216,0000,0000,0,2262,0000,0000,0,2256,0000,0000,0,2310,0000,0000
"Carbon, MT",30009,0,4785,0000,0000,0,5105,0000,0000,0,4785,0000,0000,0,4790,0000,0000,0,4833,0000,0000,0,4843,0000,0000,0,4859,0000,0000,0,4861,0000,0000,0,4906,0000,0000,0,4890,0000,0000
"Carter, MT",30011,0,662,0000,0000,0,586,0000,0000,0,662,0000,0000,0,654,0000,0000,0,656,0000,0000,0,647,0000,0000,0,634,0000,0000,0,636,0000,0000,0,622,0000,0000,0,610,0000,0000
"Cascade, MT",30013,0,39756,0000,0000,0,40568,0000,0000,0,39756,0000,0000,0,39678,0000,0000,0,39796,0000,0000,0,39887,0000,0000,0,40008,0000,0000,0,40417,0000,0000,0,40460,0000,0000,0,40492,0000,0000
"Chouteau, MT",30015,0,2997,0000,0000,0,2861,0000,0000,0,2997,0000,0000,0,3003,0000,0000,0,2884,0000,0000,0,2796,0000,0000,0,2750,0000,0000,0,2693,0000,0000,0,2650,0000,0000,0,2621,0000,0000
"Custer, MT",30017,0,5724,0000,0000,0,5810,0000,0000,0,5724,0000,0000,0,5711,0000,0000,0,5594,0000,0000,0,5585,0000,0000,0,5525,0000,0000,0,5536,0000,0000,0,5473,0000,0000,0,5460,0000,0000
"Daniels, MT",30019,0,988,0000,0000,0,881,0000,0000,0,988,0000,0000,0,986,0000,0000,0,987,0000,0000,0,938,0000,0000,0,916,0000,0000,0,880,0000,0000,0,864,0000,0000,0,844,0000,0000
"Dawson, MT",30021,0,4490,0000,0000,0,4532,0000,0000,0,4490,0000,0000,0,4483,0000,0000,0,4418,0000,0000,0,4309,0000,0000,0,4290,0000,0000,0,4248,0000,0000,0,4252,0000,0000,0,4264,0000,0000
"Deer Lodge, MT",30023,0,4703,0000,0000,0,4921,0000,0000,0,4702,0000,0000,0,4688,0000,0000,0,4621,0000,0000,0,4567,0000,0000,0,4519,0000,0000,0,4535,0000,0000,0,4544,0000,0000,0,4467,0000,0000
"Fallon, MT",30025,0,1434,0000,0000,0,1466,0000,0000,0,1434,0000,0000,0,1421,0000,0000,0,1380,0000,0000,0,1354,0000,0000,0,1359,0000,0000,0,1345,0000,0000,0,1308,0000,0000,0,1313,0000,0000
"Fergus, MT",30027,0,5787,0000,0000,0,5821,0000,0000,0,5787,0000,0000,0,5783,0000,0000,0,5685,0000,0000,0,5660,0000,0000,0,5601,0000,0000,0,5580,0000,0000,0,5506,0000,0000,0,5524,0000,0000
"Flathead, MT",30029,0,36911,0000,0000,0,45276,0000,0000,0,36911,0000,0000,0,37042,0000,0000,0,37686,0000,0000,0,38341,0000,0000,0,39342,0000,0000,0,40094,0000,0000,0,41104,0000,0000,0,42307,0000,0000
"Gallatin, MT",30031,0,35274,0000,0000,0,46462,0000,0000,0,35274,0000,0000,0,35560,0000,0000,0,36527,0000,0000,0,37452,0000,0000,0,38924,0000,0000,0,40263,0000,0000,0,41927,0000,0000,0,43870,0000,0000
"Garfield, MT",30033,0,660,0000,0000,0,617,0000,0000,0,660,0000,0000,0,653,0000,0000,0,653,0000,0000,0,648,0000,0000,0,641,0000,0000,0,630,0000,0000,0,611,0000,0000,0,629,0000,0000
"Glacier, MT",30035,0,6553,0000,0000,0,6555,0000,0000,0,6552,0000,0000,0,6516,0000,0000,0,6483,0000,0000,0,6517,0000,0000,0,6559,0000,0000,0,6692,0000,0000,0,6606,0000,0000,0,6633,0000,0000
"Golden Valley, MT",30037,0,539,0000,0000,0,463,0000,0000,0,539,0000,0000,0,528,0000,0000,0,529,0000,0000,0,547,0000,0000,0,535,0000,0000,0,557,0000,0000,0,574,0000,0000,0,563,0000,0000
"Granite, MT",30039,0,1450,0000,0000,0,1567,0000,0000,0,1451,0000,0000,0,1455,0000,0000,0,1476,0000,0000,0,1471,0000,0000,0,1466,0000,0000,0,1463,0000,0000,0,1485,0000,0000,0,1475,0000,0000
"Hill, MT",30041,0,8306,0000,0000,0,8122,0000,0000,0,8305,0000,0000,0,8284,0000,0000,0,8215,0000,0000,0,8135,0000,0000,0,8096,0000,0000,0,8096,0000,0000,0,8123,0000,0000,0,8251,0000,0000
"Jefferson, MT",30043,0,5045,0000,0000,0,5814,0000,0000,0,5044,0000,0000,0,5060,0000,0000,0,5074,0000,0000,0,5136,0000,0000,0,5184,0000,0000,0,5300,0000,0000,0,5395,0000,0000,0,5457,0000,0000
"Judith Basin, MT",30045,0,1209,0000,0000,0,1075,0000,0000,0,1209,0000,0000,0,1211,0000,0000,0,1175,0000,0000,0,1163,0000,0000,0,1135,0000,0000,0,1126,0000,0000,0,1103,0000,0000,0,1094,0000,0000
"Lake, MT",30047,0,13028,0000,0000,0,14223,0000,0000,0,13028,0000,0000,0,13089,0000,0000,0,13194,0000,0000,0,13181,0000,0000,0,13327,0000,0000,0,13544,0000,0000,0,13727,0000,0000,0,13840,0000,0000
"Lewis and Clark, MT",30049,0,27360,0000,0000,0,31300,0000,0000,0,27360,0000,0000,0,27442,0000,0000,0,27610,0000,0000,0,27600,0000,0000,0,28012,0000,0000,0,28453,0000,0000,0,28687,0000,0000,0,29211,0000,0000
"Liberty, MT",30051,0,1063,0000,0000,0,1125,0000,0000,0,1063,0000,0000,0,1062,0000,0000,0,1028,0000,0000,0,986,0000,0000,0,985,0000,0000,0,980,0000,0000,0,953,0000,0000,0,903,0000,0000
"Lincoln, MT",30053,0,9542,0000,0000,0,9998,0000,0000,0,9541,0000,0000,0,9532,0000,0000,0,9396,0000,0000,0,9369,0000,0000,0,9413,0000,0000,0,9410,0000,0000,0,9455,0000,0000,0,9447,0000,0000
"McCone, MT",30055,0,987,0000,0000,0,889,0000,0000,0,987,0000,0000,0,978,0000,0000,0,934,0000,0000,0,910,0000,0000,0,891,0000,0000,0,875,0000,0000,0,869,0000,0000,0,857,0000,0000
"Madison, MT",30057,0,3465,0000,0000,0,3997,0000,0000,0,3466,0000,0000,0,3476,0000,0000,0,3455,0000,0000,0,3486,0000,0000,0,3460,0000,0000,0,3510,0000,0000,0,3611,0000,0000,0,3673,0000,0000
"Meagher, MT",30059,0,968,0000,0000,0,957,0000,0000,0,968,0000,0000,0,966,0000,0000,0,960,0000,0000,0,956,0000,0000,0,963,0000,0000,0,975,0000,0000,0,953,0000,0000,0,973,0000,0000
"Mineral, MT",30061,0,2000,0000,0000,0,2189,0000,0000,0,2000,0000,0000,0,2002,0000,0000,0,1965,0000,0000,0,1949,0000,0000,0,1978,0000,0000,0,1984,0000,0000,0,2030,0000,0000,0,2041,0000,0000
"Missoula, MT",30063,0,47875,0000,0000,0,54974,0000,0000,0,47874,0000,0000,0,48044,0000,0000,0,48737,0000,0000,0,49558,0000,0000,0,50094,0000,0000,0,50582,0000,0000,0,51272,0000,0000,0,52316,0000,0000
"Musselshell, MT",30065,0,2196,0000,0000,0,2262,0000,0000,0,2196,0000,0000,0,2193,0000,0000,0,2152,0000,0000,0,2141,0000,0000,0,2149,0000,0000,0,2149,0000,0000,0,2121,0000,0000,0,2169,0000,0000
"Park, MT",30067,0,7745,0000,0000,0,7793,0000,0000,0,7745,0000,0000,0,7761,0000,0000,0,7753,0000,0000,0,7791,0000,0000,0,7743,0000,0000,0,7735,0000,0000,0,7832,0000,0000,0,7884,0000,0000
"Petroleum, MT",30069,0,259,0000,0000,0,267,0000,0000,0,259,0000,0000,0,258,0000,0000,0,253,0000,0000,0,259,0000,0000,0,251,0000,0000,0,255,0000,0000,0,239,0000,0000,0,239,0000,0000
"Phillips, MT",30071,0,2305,0000,0000,0,2097,0000,0000,0,2305,0000,0000,0,2281,0000,0000,0,2230,0000,0000,0,2168,0000,0000,0,2122,0000,0000,0,2094,0000,0000,0,2045,0000,0000,0,1995,0000,0000
"Pondera, MT",30073,0,3169,0000,0000,0,2972,0000,0000,0,3169,0000,0000,0,3146,0000,0000,0,3120,0000,0000,0,3079,0000,0000,0,3029,0000,0000,0,2968,0000,0000,0,2960,0000,0000,0,2941,0000,0000
"Powder River, MT",30075,0,916,0000,0000,0,885,0000,0000,0,916,0000,0000,0,915,0000,0000,0,892,0000,0000,0,891,0000,0000,0,892,0000,0000,0,869,0000,0000,0,838,0000,0000,0,865,0000,0000
"Powell, MT",30077,0,4228,0000,0000,0,4294,0000,0000,0,4228,0000,0000,0,4228,0000,0000,0,4138,0000,0000,0,4114,0000,0000,0,4068,0000,0000,0,4087,0000,0000,0,4180,0000,0000,0,4316,0000,0000
"Prairie, MT",30079,0,619,0000,0000,0,601,0000,0000,0,619,0000,0000,0,614,0000,0000,0,624,0000,0000,0,602,0000,0000,0,597,0000,0000,0,586,0000,0000,0,554,0000,0000,0,552,0000,0000
"Ravalli, MT",30081,0,17910,0000,0000,0,19964,0000,0000,0,17911,0000,0000,0,18028,0000,0000,0,18255,0000,0000,0,18597,0000,0000,0,19041,0000,0000,0,19347,0000,0000,0,19536,0000,0000,0,19849,0000,0000
"Richland, MT",30083,0,4801,0000,0000,0,5017,0000,0000,0,4801,0000,0000,0,4776,0000,0000,0,4665,0000,0000,0,4576,0000,0000,0,4512,0000,0000,0,4442,0000,0000,0,4478,0000,0000,0,4493,0000,0000
"Roosevelt, MT",30085,0,5264,0000,0000,0,5144,0000,0000,0,5264,0000,0000,0,5257,0000,0000,0,5223,0000,0000,0,5146,0000,0000,0,5110,0000,0000,0,5157,0000,0000,0,5134,0000,0000,0,5074,0000,0000
"Rosebud, MT",30087,0,4712,0000,0000,0,4671,0000,0000,0,4716,0000,0000,0,4718,0000,0000,0,4634,0000,0000,0,4606,0000,0000,0,4621,0000,0000,0,4576,0000,0000,0,4573,0000,0000,0,4530,0000,0000
"Sanders, MT",30089,0,5166,0000,0000,0,5852,0000,0000,0,5168,0000,0000,0,5180,0000,0000,0,5244,0000,0000,0,5207,0000,0000,0,5217,0000,0000,0,5354,0000,0000,0,5387,0000,0000,0,5447,0000,0000
"Sheridan, MT",30091,0,2039,0000,0000,0,1698,0000,0000,0,2039,0000,0000,0,2025,0000,0000,0,1947,0000,0000,0,1877,0000,0000,0,1806,0000,0000,0,1788,0000,0000,0,1718,0000,0000,0,1683,0000,0000
"Silver Bow, MT",30093,0,17108,0000,0000,0,17271,0000,0000,0,17110,0000,0000,0,17070,0000,0000,0,16692,0000,0000,0,16501,0000,0000,0,16362,0000,0000,0,16282,0000,0000,0,16249,0000,0000,0,16218,0000,0000
"Stillwater, MT",30095,0,4178,0000,0000,0,4674,0000,0000,0,4178,0000,0000,0,4188,0000,0000,0,4244,0000,0000,0,4267,0000,0000,0,4275,0000,0000,0,4259,0000,0000,0,4278,0000,0000,0,4361,0000,0000
"Sweet Grass, MT",30097,0,1800,0000,0000,0,1846,0000,0000,0,1800,0000,0000,0,1815,0000,0000,0,1794,0000,0000,0,1810,0000,0000,0,1804,0000,0000,0,1847,0000,0000,0,1841,0000,0000,0,1857,0000,0000
"Teton, MT",30099,0,3174,0000,0000,0,2995,0000,0000,0,3174,0000,0000,0,3167,0000,0000,0,3150,0000,0000,0,3111,0000,0000,0,3124,0000,0000,0,3069,0000,0000,0,3007,0000,0000,0,3003,0000,0000
"Toole, MT",30101,0,2716,0000,0000,0,2966,0000,0000,0,2716,0000,0000,0,2715,0000,0000,0,2742,0000,0000,0,2757,0000,0000,0,2600,0000,0000,0,2684,0000,0000,0,2760,0000,0000,0,2725,0000,0000
"Treasure, MT",30103,0,439,0000,0000,0,369,0000,0000,0,439,0000,0000,0,436,0000,0000,0,425,0000,0000,0,400,0000,0000,0,387,0000,0000,0,384,0000,0000,0,362,0000,0000,0,352,0000,0000
"Valley, MT",30105,0,3802,0000,0000,0,3664,0000,0000,0,3802,0000,0000,0,3783,0000,0000,0,3715,0000,0000,0,3653,0000,0000,0,3582,0000,0000,0,3552,0000,0000,0,3477,0000,0000,0,3402,0000,0000
"Wheatland, MT",30107,0,1118,0000,0000,0,1069,0000,0000,0,1118,0000,0000,0,1116,0000,0000,0,1075,0000,0000,0,1070,0000,0000,0,1033,0000,0000,0,1022,0000,0000,0,1001,0000,0000,0,975,0000,0000
"Wibaux, MT",30109,0,513,0000,0000,0,513,0000,0000,0,513,0000,0000,0,514,0000,0000,0,491,0000,0000,0,478,0000,0000,0,463,0000,0000,0,456,0000,0000,0,437,0000,0000,0,426,0000,0000
"Yellowstone, MT",30111,0,63084,0000,0000,0,72385,0000,0000,0,63081,0000,0000,0,63159,0000,0000,0,63635,0000,0000,0,64295,0000,0000,0,64981,0000,0000,0,65762,0000,0000,0,66760,0000,0000,0,67606,0000,0000
"Yellowstone National Park, MT",30113,5,0,0000,0000,5,0,0000,0000,5,0,0000,0000,5,0,0000,0000,5,0,0000,0000,5,0,0000,0000,5,0,0000,0000,5,0,0000,0000,5,0,0000,0000,5,0,0000,0000
NEBRASKA,31000,0,843351,0000,0000,0,906296,0000,0000,0,843352,0000,0000,0,844585,0000,0000,0,847828,0000,0000,0,851959,0000,0000,0,856880,0000,0000,0,861971,0000,0000,0,867312,0000,0000,0,872122,0000,0000
"Adams, NE",31001,0,15262,0000,0000,0,15600,0000,0000,0,15262,0000,0000,0,15269,0000,0000,0,15498,0000,0000,0,15491,0000,0000,0,15787,0000,0000,0,16049,0000,0000,0,16193,0000,0000,0,16150,0000,0000
"Antelope, NE",31003,0,3666,0000,0000,0,3329,0000,0000,0,3666,0000,0000,0,3661,0000,0000,0,3571,0000,0000,0,3561,0000,0000,0,3524,0000,0000,0,3472,0000,0000,0,3431,0000,0000,0,3355,0000,0000
"Arthur, NE",31005,0,224,0000,0000,0,228,0000,0000,0,224,0000,0000,0,225,0000,0000,0,209,0000,0000,0,203,0000,0000,0,203,0000,0000,0,193,0000,0000,0,185,0000,0000,0,185,0000,0000
"Banner, NE",31007,0,426,0000,0000,0,354,0000,0000,0,426,0000,0000,0,429,0000,0000,0,417,0000,0000,0,401,0000,0000,0,399,0000,0000,0,393,0000,0000,0,383,0000,0000,0,386,0000,0000
"Blaine, NE",31009,0,294,0000,0000,0,247,0000,0000,0,294,0000,0000,0,293,0000,0000,0,282,0000,0000,0,270,0000,0000,0,267,0000,0000,0,252,0000,0000,0,242,0000,0000,0,240,0000,0000
"Boone, NE",31011,0,3116,0000,0000,0,2749,0000,0000,0,3116,0000,0000,0,3090,0000,0000,0,3056,0000,0000,0,3005,0000,0000,0,2911,0000,0000,0,2855,0000,0000,0,2807,0000,0000,0,2729,0000,0000
"Box Butte, NE",31013,0,6054,0000,0000,0,5541,0000,0000,0,6054,0000,0000,0,6032,0000,0000,0,5899,0000,0000,0,5879,0000,0000,0,5761,0000,0000,0,5639,0000,0000,0,5579,0000,0000,0,5515,0000,0000
"Boyd, NE",31015,0,1177,0000,0000,0,1038,0000,0000,0,1177,0000,0000,0,1172,0000,0000,0,1158,0000,0000,0,1134,0000,0000,0,1105,0000,0000,0,1075,0000,0000,0,1066,0000,0000,0,1035,0000,0000
"Brown, NE",31017,0,1731,0000,0000,0,1531,0000,0000,0,1731,0000,0000,0,1727,0000,0000,0,1716,0000,0000,0,1708,0000,0000,0,1692,0000,0000,0,1675,0000,0000,0,1612,0000,0000,0,1602,0000,0000
"Buffalo, NE",31019,0,20694,0000,0000,0,22838,0000,0000,0,20694,0000,0000,0,20755,0000,0000,0,20816,0000,0000,0,21074,0000,0000,0,21209,0000,0000,0,21458,0000,0000,0,21626,0000,0000,0,21852,0000,0000
"Burt, NE",31021,0,3771,0000,0000,0,3361,0000,0000,0,3771,0000,0000,0,3771,0000,0000,0,3721,0000,0000,0,3635,0000,0000,0,3583,0000,0000,0,3607,0000,0000,0,3520,0000,0000,0,3479,0000,0000
"Butler, NE",31023,0,4472,0000,0000,0,4211,0000,0000,0,4519,0000,0000,0,4520,0000,0000,0,4549,0000,0000,0,4521,0000,0000,0,4475,0000,0000,0,4438,0000,0000,0,4348,0000,0000,0,4298,0000,0000
"Cass, NE",31025,0,12028,0000,0000,0,12664,0000,0000,0,12028,0000,0000,0,12064,0000,0000,0,12163,0000,0000,0,12229,0000,0000,0,12395,0000,0000,0,12530,0000,0000,0,12584,0000,0000,0,12639,0000,0000
"Cedar, NE",31027,0,4811,0000,0000,0,4500,0000,0000,0,4811,0000,0000,0,4795,0000,0000,0,4716,0000,0000,0,4650,0000,0000,0,4557,0000,0000,0,4516,0000,0000,0,4496,0000,0000,0,4383,0000,0000
"Chase, NE",31029,0,1999,0000,0000,0,1965,0000,0000,0,1999,0000,0000,0,1988,0000,0000,0,1945,0000,0000,0,1943,0000,0000,0,1952,0000,0000,0,1897,0000,0000,0,1857,0000,0000,0,1837,0000,0000
"Cherry, NE",31031,0,3055,0000,0000,0,2844,0000,0000,0,3055,0000,0000,0,3054,0000,0000,0,3016,0000,0000,0,3008,0000,0000,0,2979,0000,0000,0,2989,0000,0000,0,2975,0000,0000,0,2904,0000,0000
"Cheyenne, NE",31033,0,4814,0000,0000,0,4966,0000,0000,0,4814,0000,0000,0,4812,0000,0000,0,4865,0000,0000,0,4866,0000,0000,0,4839,0000,0000,0,4846,0000,0000,0,4926,0000,0000,0,4821,0000,0000
"Clay, NE",31035,0,3431,0000,0000,0,3277,0000,0000,0,3431,0000,0000,0,3423,0000,0000,0,3366,0000,0000,0,3336,0000,0000,0,3299,0000,0000,0,3244,0000,0000,0,3168,0000,0000,0,3122,0000,0000
"Colfax, NE",31037,0,5382,0000,0000,0,5426,0000,0000,0,5382,0000,0000,0,5395,0000,0000,0,5410,0000,0000,0,5429,0000,0000,0,5410,0000,0000,0,5410,0000,0000,0,5300,0000,0000,0,5189,0000,0000
"Cuming, NE",31039,0,5155,0000,0000,0,4532,0000,0000,0,5155,0000,0000,0,5141,0000,0000,0,5081,0000,0000,0,5033,0000,0000,0,4969,0000,0000,0,4895,0000,0000,0,4857,0000,0000,0,4754,0000,0000
"Custer, NE",31041,0,5779,0000,0000,0,5427,0000,0000,0,5779,0000,0000,0,5772,0000,0000,0,5683,0000,0000,0,5629,0000,0000,0,5572,0000,0000,0,5526,0000,0000,0,5464,0000,0000,0,5381,0000,0000
"Dakota, NE",31043,0,10111,0000,0000,0,10489,0000,0000,0,10111,0000,0000,0,10131,0000,0000,0,10123,0000,0000,0,10136,0000,0000,0,10170,0000,0000,0,10103,0000,0000,0,9973,0000,0000,0,10009,0000,0000
"Dawes, NE",31045,0,4429,0000,0000,0,4559,0000,0000,0,4429,0000,0000,0,4414,0000,0000,0,4436,0000,0000,0,4436,0000,0000,0,4432,0000,0000,0,4325,0000,0000,0,4280,0000,0000,0,4235,0000,0000
"Dawson, NE",31047,0,12286,0000,0000,0,12293,0000,0000,0,12286,0000,0000,0,12318,0000,0000,0,12355,0000,0000,0,12309,0000,0000,0,12371,0000,0000,0,12361,0000,0000,0,12388,0000,0000,0,12533,0000,0000
"Deuel, NE",31049,0,1021,0000,0000,0,954,0000,0000,0,1021,0000,0000,0,1022,0000,0000,0,1014,0000,0000,0,975,0000,0000,0,961,0000,0000,0,953,0000,0000,0,934,0000,0000,0,912,0000,0000
"Dixon, NE",31051,0,3145,0000,0000,0,2964,0000,0000,0,3144,0000,0000,0,3134,0000,0000,0,3111,0000,0000,0,3101,0000,0000,0,3073,0000,0000,0,3039,0000,0000,0,3080,0000,0000,0,3100,0000,0000
"Dodge, NE",31053,0,17441,0000,0000,0,17963,0000,0000,0,17441,0000,0000,0,17472,0000,0000,0,17400,0000,0000,0,17337,0000,0000,0,17352,0000,0000,0,17379,0000,0000,0,17410,0000,0000,0,17397,0000,0000
"Douglas, NE",31055,0,226734,0000,0000,0,254164,0000,0000,0,226734,0000,0000,0,227352,0000,0000,0,229273,0000,0000,0,231344,0000,0000,0,233818,0000,0000,0,236592,0000,0000,0,239641,0000,0000,0,242398,0000,0000
"Dundy, NE",31057,0,1128,0000,0000,0,1006,0000,0000,0,1128,0000,0000,0,1128,0000,0000,0,1083,0000,0000,0,1064,0000,0000,0,1070,0000,0000,0,1070,0000,0000,0,1034,0000,0000,0,1013,0000,0000
"Fillmore, NE",31059,0,3205,0000,0000,0,2893,0000,0000,0,3205,0000,0000,0,3196,0000,0000,0,3147,0000,0000,0,3096,0000,0000,0,3102,0000,0000,0,3065,0000,0000,0,2997,0000,0000,0,2971,0000,0000
"Franklin, NE",31061,0,1720,0000,0000,0,1613,0000,0000,0,1720,0000,0000,0,1709,0000,0000,0,1658,0000,0000,0,1662,0000,0000,0,1638,0000,0000,0,1621,0000,0000,0,1624,0000,0000,0,1584,0000,0000
"Frontier, NE",31063,0,1553,0000,0000,0,1399,0000,0000,0,1553,0000,0000,0,1547,0000,0000,0,1528,0000,0000,0,1503,0000,0000,0,1455,0000,0000,0,1451,0000,0000,0,1414,0000,0000,0,1367,0000,0000
"Furnas, NE",31065,0,2555,0000,0000,0,2423,0000,0000,0,2555,0000,0000,0,2538,0000,0000,0,2479,0000,0000,0,2468,0000,0000,0,2430,0000,0000,0,2358,0000,0000,0,2311,0000,0000,0,2278,0000,0000
"Gage, NE",31067,0,11149,0000,0000,0,10952,0000,0000,0,11149,0000,0000,0,11141,0000,0000,0,11221,0000,0000,0,11248,0000,0000,0,11301,0000,0000,0,11346,0000,0000,0,11276,0000,0000,0,11314,0000,0000
"Garden, NE",31069,0,1116,0000,0000,0,1043,0000,0000,0,1116,0000,0000,0,1110,0000,0000,0,1107,0000,0000,0,1076,0000,0000,0,1068,0000,0000,0,1023,0000,0000,0,947,0000,0000,0,939,0000,0000
"Garfield, NE",31071,0,911,0000,0000,0,1003,0000,0000,0,911,0000,0000,0,906,0000,0000,0,895,0000,0000,0,894,0000,0000,0,874,0000,0000,0,869,0000,0000,0,859,0000,0000,0,849,0000,0000
"Gosper, NE",31073,0,1082,0000,0000,0,1024,0000,0000,0,1082,0000,0000,0,1081,0000,0000,0,1047,0000,0000,0,1036,0000,0000,0,1039,0000,0000,0,1023,0000,0000,0,1006,0000,0000,0,984,0000,0000
"Grant, NE",31075,0,398,0000,0000,0,336,0000,0000,0,398,0000,0000,0,398,0000,0000,0,390,0000,0000,0,373,0000,0000,0,360,0000,0000,0,346,0000,0000,0,338,0000,0000,0,334,0000,0000
"Greeley, NE",31077,0,1337,0000,0000,0,1280,0000,0000,0,1337,0000,0000,0,1332,0000,0000,0,1316,0000,0000,0,1305,0000,0000,0,1279,0000,0000,0,1260,0000,0000,0,1217,0000,0000,0,1207,0000,0000
"Hall, NE",31079,0,26554,0000,0000,0,29287,0000,0000,0,26554,0000,0000,0,26552,0000,0000,0,26501,0000,0000,0,26644,0000,0000,0,26809,0000,0000,0,27004,0000,0000,0,27029,0000,0000,0,27322,0000,0000
